id;foodName;category;preparation;gi;giMin;giMax;carbsPer100g;defaultPortion;evidence;note;sourceTitle;sourceUrl
mleko-plnotucne;Mlieko;Mliečne výrobky;plnotučné;32;30;46;4.7;250;Reprezentatívna hodnota z viacerých testovaných variantov;"Priamo testované výrobky sa líšili; použitá je reprezentatívna hodnota novších testov.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jogurt-bily;Biely jogurt;Mliečne výrobky;nesladený;17;11;36;4.7;150;Reprezentatívna hodnota z viacerých testovaných variantov;"Obsah sacharidov sa líšia podľa odkapaní a kultury; použite etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jogurt-recky;Grécky jogurt;Mliečne výrobky;biely, nesladený;12;11;19;3.8;150;Reprezentatívna hodnota z viacerých testovaných variantov;Nízke množstvo sacharidov vedie spravidla k veľmi nízke GL.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jogurt-ovocny;Ovocný jogurt;Mliečne výrobky;sladený;41;33;50;13.0;150;Reprezentatívna hodnota z viacerých testovaných variantov;"Receptúry sa výrazne líšia množstvom pridaného cukru; etiketa má prednosť.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kefir;Kefír;Mliečne výrobky;biely, neochutený;18;11;36;4.5;250;Reprezentatívna hodnota z viacerých testovaných variantov;"Fermentované mliečne výrobky majú často nízky GI; konkrétna kultúra a receptúra sa líšia.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mleko-cokoladove;Čokoládové mlieko;Mliečne výrobky;sladené;32;24;37;10.5;250;Reprezentatívna hodnota z viacerých testovaných variantov;Použite sacharidy z etikety konkrétneho výrobku.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
zmrzlina;Zmrzlina;Mliečne výrobky;bežná mliečna;50;39;62;23.0;100;Reprezentatívna hodnota z viacerých testovaných variantov;Tuk znižuje rýchlosť trávenia, ale množství cukrov a veľkosť porcie sú rozhodujúce.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzovy-nakyp-puding;Ryžový puding alebo mliečna ryža;Mliečne výrobky;hotový výrobok;59;50;65;18.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;"Ide o zmiešaný výrobok; receptúry sa líšia množstvím ryža, mlieka a cukru.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
sacharoza;Kryštálový cukor;Sladkosti a nápoje;sacharóza;65;60;65;100.0;10;Reprezentatívna hodnota z viacerých testovaných variantov;GI sacharózy je nižší ako pri čisté glukózy, ale ide prakticky o 100 % dostupných sacharidov.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
glukoza;Glukóza;Sladkosti a nápoje;dextróza;100;100;100;100.0;10;Referenčná hodnota;Glukóza je referenčná potravina s GI 100.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
med-bezny;Med;Sladkosti a nápoje;bežný zmiešaný med;58;35;77;82.0;20;Reprezentatívna hodnota z viacerých testovaných variantov;GI medu sa výrazne mení podľa pomeru glukózy a fruktózy a botanického pôvodu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
med-lipovy-cz;Med;Sladkosti a nápoje;"lipový; historicky testovaná česká vzorka";77;77;77;82.0;20;Priame testovanie konkrétnej českej položky;Hodnota sa týka konkrétneho českého vzorky a nemožno ji automaticky preniesť na každý lipový med.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cokolada-horka;Horká čokoláda;Sladkosti a nápoje;70–85 % kakaa;29;18;44;35.0;25;Reprezentatívna hodnota z viacerých testovaných variantov;Pôvodná všeobecná hodnota 40 bola nahradená rozpätím podľa podielu kakaa a receptúry.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cokolada-mlecna;Mliečna čokoláda;Sladkosti a nápoje;bežná;45;39;54;57.0;25;Reprezentatívna hodnota z viacerých testovaných variantov;Jednotlivé značky sa líšia obsahem cukru, tuku a mliečne zložky.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bebe-dobre-rano-4-cerealie;Sušienky BeBe Dobré ráno;Sladkosti a nápoje;"4 cereálie; historicky testovaná receptúra";51;51;51;65.0;30;Priame testovanie konkrétneho českého výrobku;GI sa týka staršie testované receptúry. Aktuálne zloženie a etiketa môžu byť iné.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bebe-dobre-rano-orechy-med;Sušienky BeBe Dobré ráno;Sladkosti a nápoje;"orechy a med; historicky testovaná receptúra";41;41;41;65.0;30;Priame testovanie konkrétneho českého výrobku;GI sa týka staršie testované receptúry. Aktuálne zloženie a etiketa môžu byť iné.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
susenk-y-cajove;Čajové sušienky;Sladkosti a nápoje;bežné pšeničné;55;50;67;68.0;30;Reprezentatívna hodnota z viacerých testovaných variantov;"Receptúry a veľkosti porcie sa výrazne líšia; použite etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
marmelada-dzem;Džem alebo marmeláda;Sladkosti a nápoje;bežná sladená;51;49;55;60.0;30;Reprezentatívna hodnota z viacerých testovaných variantov;"Obsah cukru sa líšia; pri výrobku použite etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
zele-bonbony;Želé cukríky;Sladkosti a nápoje;sladené cukrom a glukózovým sirupem;80;70;80;78.0;25;Reprezentatívna hodnota z viacerých testovaných variantov;"Hodnota je priradená k priamo testovaným želé cukrovinkám; konkrétne receptúry sa líšia.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cola;Colový nápoj;Sladkosti a nápoje;sladený cukrom;63;53;65;10.6;330;Reprezentatívna hodnota z viacerých testovaných variantov;"Použite sacharidy z etikety; receptúra sa mezi krajinami a značkami líši.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pomerancovy-dzus;Pomarančový džús;Sladkosti a nápoje;100% džús;50;46;54;9.5;250;Reprezentatívna hodnota z viacerých testovaných variantov;Džús nemá štruktúru celého plodu a porcie sa ľahko vypije rychle.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jablecny-dzus;Jablkový džús;Sladkosti a nápoje;100% džús;41;36;44;10.5;250;Reprezentatívna hodnota z viacerých testovaných variantov;Použitá je reprezentatívna hodnota pre číry alebo bežný jablčný džús.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
