id;foodName;category;preparation;gi;giMin;giMax;carbsPer100g;defaultPortion;evidence;note;sourceTitle;sourceUrl
zmrzlina;Zmrzlina;Mléčné výrobky;běžná mléčná;50;39;62;23.0;100;Reprezentativní hodnota z více testovaných variant;Tuk snižuje rychlost trávení, ale množství cukrů a velikost porce jsou rozhodující.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzovy-nakyp-puding;Rýžový pudink nebo mléčná rýže;Mléčné výrobky;hotový výrobek;59;50;65;18.0;200;Reprezentativní hodnota z více testovaných variant;"Jde o smíšený výrobek; receptury se liší množstvím rýže, mléka a cukru.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
sacharoza;Cukr krystal;Sladkosti a nápoje;sacharóza;65;60;65;100.0;10;Reprezentativní hodnota z více testovaných variant;GI sacharózy je nižší než u čisté glukózy, ale jde prakticky o 100 % dostupných sacharidů.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
glukoza;Glukóza;Sladkosti a nápoje;dextróza;100;100;100;100.0;10;Referenční hodnota;Glukóza je referenční potravina se GI 100.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
med-bezny;Med;Sladkosti a nápoje;běžný směsný med;58;35;77;82.0;20;Reprezentativní hodnota z více testovaných variant;GI medu se výrazně mění podle poměru glukózy a fruktózy a botanického původu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
med-lipovy-cz;Med;Sladkosti a nápoje;"lipový; historicky testovaný český vzorek";77;77;77;82.0;20;Přímé testování konkrétní české položky;Hodnota se týká konkrétního českého vzorku a nelze ji automaticky přenést na každý lipový med.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cokolada-horka;Hořká čokoláda;Sladkosti a nápoje;70–85 % kakaa;29;18;44;35.0;25;Reprezentativní hodnota z více testovaných variant;Původní obecná hodnota 40 byla nahrazena rozpětím podle podílu kakaa a receptury.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cokolada-mlecna;Mléčná čokoláda;Sladkosti a nápoje;běžná;45;39;54;57.0;25;Reprezentativní hodnota z více testovaných variant;Jednotlivé značky se liší obsahem cukru, tuku a mléčné složky.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bebe-dobre-rano-4-cerealie;Sušenky BeBe Dobré ráno;Sladkosti a nápoje;"4 cereálie; historicky testovaná receptura";51;51;51;65.0;30;Přímé testování konkrétního českého výrobku;GI se týká starší testované receptury. Aktuální složení a etiketa mohou být jiné.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bebe-dobre-rano-orechy-med;Sušenky BeBe Dobré ráno;Sladkosti a nápoje;"ořechy a med; historicky testovaná receptura";41;41;41;65.0;30;Přímé testování konkrétního českého výrobku;GI se týká starší testované receptury. Aktuální složení a etiketa mohou být jiné.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
susenk-y-cajove;Čajové sušenky;Sladkosti a nápoje;běžné pšeničné;55;50;67;68.0;30;Reprezentativní hodnota z více testovaných variant;"Receptury a velikosti porce se výrazně liší; použijte etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
marmelada-dzem;Džem nebo marmeláda;Sladkosti a nápoje;běžná slazená;51;49;55;60.0;30;Reprezentativní hodnota z více testovaných variant;"Obsah cukru se liší; u výrobku použijte etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
zele-bonbony;Želé bonbony;Sladkosti a nápoje;slazené cukrem a glukózovým sirupem;80;70;80;78.0;25;Reprezentativní hodnota z více testovaných variant;"Hodnota je přiřazena k přímo testovaným želé cukrovinkám; konkrétní receptury se liší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cola;Colový nápoj;Sladkosti a nápoje;slazený cukrem;63;53;65;10.6;330;Reprezentativní hodnota z více testovaných variant;"Použijte sacharidy z etikety; receptura se mezi zeměmi a značkami liší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pomerancovy-dzus;Pomerančový džus;Sladkosti a nápoje;100% džus;50;46;54;9.5;250;Reprezentativní hodnota z více testovaných variant;Džus nemá strukturu celého plodu a porce se snadno vypije rychle.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jablecny-dzus;Jablečný džus;Sladkosti a nápoje;100% džus;41;36;44;10.5;250;Reprezentativní hodnota z více testovaných variant;Použita je reprezentativní hodnota pro čirý nebo běžný jablečný džus.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
